Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,date_ligule_1,date_ligule_2,date_ligule_3
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,gauche,89,43,15/11/2021,23/11/2021,
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,droite,348,51,17/11/2021,21/11/2021,
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,gauche,265,48,17/11/2021,23/11/2021,
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,droite,118,NA,17/11/2021,23/11/2021,
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,gauche,131,32,15/11/2021,23/11/2021,
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,droite,131,60,17/11/2021,23/11/2021,
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,gauche,89,46,15/11/2021,21/11/2021,
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,droite,482,52,15/11/2021,21/11/2021,
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,gauche,89,41,15/11/2021,21/11/2021,
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,droite,89,42,15/11/2021,21/11/2021,
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contrainte hydrique,3,1,1,gauche,131,54,17/11/2021,23/11/2021,
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contrainte hydrique,3,1,1,droite,131,47,17/11/2021,23/11/2021,
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contrainte hydrique,3,1,2,gauche,412,49,17/11/2021,21/11/2021,
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contrainte hydrique,3,1,2,droite,412,63,17/11/2021,NA,
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contrainte hydrique,3,1,3,gauche,329,50,15/11/2021,21/11/2021,
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contrainte hydrique,3,1,3,droite,376,55,15/11/2021,21/11/2021,
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contrainte hydrique,3,1,4,gauche,89,48,17/11/2021,21/11/2021,
